date,canton,region,y
2022-04-01,GL,5,0.0908575713750612
2022-04-01,GR,5,0.555211169752531
2022-04-01,JU,2,0.448528955749768
2022-04-01,LU,6,2.99189285270363
2022-04-01,NE,2,0.766933218367298
2022-04-01,NW,6,0.132341161265691
2022-04-01,OW,6,0.0917355433812802
2022-04-01,SG,5,3.62505164595922
2022-04-01,SH,5,0.538933443444546
2022-04-01,SO,2,1.50326664522436
2022-04-01,SZ,6,1.17184435254317
2022-04-01,TG,5,1.98049181446374
2022-04-01,TI,7,4.56520850619223
2022-04-01,UR,6,0.198802310689176
2022-04-01,VD,1,6.36752643609151
2022-04-01,VS,1,2.75501271596775
2022-04-01,ZG,6,0.331186156588532
2022-04-01,ZH,4,8.18914800206329
2020-08-01,AG,3,1.51463877147797
2020-08-01,AI,5,0.0319175327238513
2020-08-01,AR,5,0.107345979636367
2020-08-01,BE,2,1.83079954541413
2020-08-01,BL,3,0.569861005949075
2020-08-01,BS,3,0.284112837698451
2020-08-01,FR,2,0.668785581484756
2020-08-01,GE,1,1.63953635919584
2020-08-01,GL,5,0.0438954674937972
2020-08-01,GR,5,0.367838550832094
2020-08-01,JU,2,0.160039180890965
2020-08-01,LU,6,1.24264993614907
2020-08-01,NE,2,0.381075094891955
2020-08-01,NW,6,0.0928946857266897
2020-08-01,OW,6,0.0443238802390263
2020-08-01,SG,5,1.80955121309592
2020-08-01,SH,5,0.251391345773544
2020-08-01,SO,2,0.563562477069492
2020-08-01,SZ,6,0.556660880888581
2020-08-01,TG,5,0.941212619612476
2020-08-01,TI,7,1.61426901407664
2020-08-01,UR,6,0.128241086820948
2020-08-01,VD,1,2.46813869155393
2020-08-01,VS,1,1.36886683148914
2020-08-01,ZG,6,0.137361500748174
2020-08-01,ZH,4,3.67136173227119
2021-08-01,AG,3,0.866675067576922
2021-08-01,AI,5,0.0127082727679826
2021-08-01,AR,5,0.094846822413131
2021-08-01,BE,2,1.49696811634478
2021-08-01,BL,3,0.309727925521282
2021-08-01,BS,3,0.208600979529323
2021-08-01,FR,2,0.489664802936775
2021-08-01,GE,1,1.30695492416924
2021-08-01,GL,5,0.0285074612563426
2021-08-01,GR,5,0.250041101581999
2021-08-01,JU,2,0.120812394154591
2021-08-01,LU,6,0.949774608882758
2021-08-01,NE,2,0.293086400821782
2021-08-01,NW,6,0.0527464591461436
2021-08-01,OW,6,0.030301782278865
2021-08-01,SG,5,1.14445609021357
2021-08-01,SH,5,0.172061758305295
2021-08-01,SO,2,0.421160273527362
2021-08-01,SZ,6,0.41652331254358
2021-08-01,TG,5,0.643594598783573
2021-08-01,TI,7,1.28238893848943
2021-08-01,UR,6,0.090476934091366
2021-08-01,VD,1,1.88142117132846
2021-08-01,VS,1,1.01445318534803
2021-08-01,ZG,6,0.12855084411663
2021-08-01,ZH,4,2.72708717549697
2022-08-01,AG,3,1.09423859771157
2022-08-01,AI,5,0.0179945101060511
2022-08-01,AR,5,0.118071179148555
2022-08-01,BE,2,1.75701974352668
2022-08-01,BL,3,0.352318183070063
2022-08-01,BS,3,0.274838915730888
2022-08-01,FR,2,0.534118303485372
2022-08-01,GE,1,1.61559732854813
2022-08-01,GL,5,0.0337905657772613
2022-08-01,GR,5,0.280100873736046
2022-08-01,JU,2,0.182806537924668
2022-08-01,LU,6,1.0210454158354
2022-08-01,NE,2,0.203190212709552
2022-08-01,NW,6,0.0646045636601113
2022-08-01,OW,6,0.117082775337807
2022-08-01,SG,5,1.41103924955057
2022-08-01,SH,5,0.218921654027048
2022-08-01,SO,2,0.519408943762983
2022-08-01,SZ,6,0.537555395500798
2022-08-01,TG,5,0.796879425899666
2022-08-01,TI,7,1.40273493449085
2022-08-01,UR,6,0.115231672004445
2022-08-01,VD,1,2.03313254103108
2022-08-01,VS,1,1.17527361251572
2022-08-01,ZG,6,0.262770912467887
2022-08-01,ZH,4,3.25889894235584
2020-12-01,AG,3,3.72518666372114
2020-12-01,AI,5,0.0324168254570936
2020-12-01,AR,5,0.344246871285862
2020-12-01,BE,2,4.40836949801974
2020-12-01,BL,3,1.64973407062044
2020-12-01,BS,3,1.2021198974784
2020-12-01,FR,2,1.42899068342081
2020-12-01,GE,1,6.25461892281004
2020-12-01,GL,5,0.0790511583440644
2020-12-01,GR,5,0.530568821654699
2020-12-01,JU,2,0.388794747951095
2020-12-01,LU,6,2.67351717704259
2020-12-01,NE,2,1.13688015514118
2020-12-01,NW,6,0.111684148184491
2020-12-01,OW,6,0.0887515350461382
2020-12-01,SG,5,3.59275895838169
2020-12-01,SH,5,0.498733133778885
2020-12-01,SO,2,1.46200196093207
2020-12-01,SZ,6,0.988931298835406
2020-12-01,TG,5,1.96098924450223
2020-12-01,TI,7,4.47554218853836
2020-12-01,UR,6,0.191005120405578
2020-12-01,VD,1,6.94863464721035
2020-12-01,VS,1,2.32015850707666
2020-12-01,ZG,6,0.326110992805928
2020-12-01,ZH,4,9.06643157171357
2021-12-01,AG,3,2.81813506551388
2021-12-01,AI,5,0.0371591274175358
2021-12-01,AR,5,0.33888975395978
2021-12-01,BE,2,4.63713563833775
2021-12-01,BL,3,1.1283244315052
2021-12-01,BS,3,1.1570554975856
2021-12-01,FR,2,1.42219521142085
2021-12-01,GE,1,6.10063116984597
2021-12-01,GL,5,0.0884261136647074
2021-12-01,GR,5,0.526221254655126
2021-12-01,JU,2,0.436942231521398
2021-12-01,LU,6,2.94232111213662
2021-12-01,NE,2,0.990959797939873
2021-12-01,NW,6,0.115223056757284
2021-12-01,OW,6,0.0869438995507294
2021-12-01,SG,5,3.49362330929054
2021-12-01,SH,5,0.547668129260208
2021-12-01,SO,2,1.491423813194
2021-12-01,SZ,6,1.26301716364392
2021-12-01,TG,5,1.90321774664788
2021-12-01,TI,7,4.66145726427988
2021-12-01,UR,6,0.17851418682736
2021-12-01,VD,1,6.85641704159015
2021-12-01,VS,1,2.57620443593046
2021-12-01,ZG,6,0.357345571391133
2021-12-01,ZH,4,8.90319965854486
2022-12-01,AG,3,2.66071844417941
2022-12-01,AI,5,0.026095192051031
2022-12-01,AR,5,0.315126161072454
2022-12-01,BE,2,4.87018512290376
2022-12-01,BL,3,1.1005402594083
2022-12-01,BS,3,1.14185937639857
2022-12-01,FR,2,1.29403871066294
2022-12-01,GE,1,4.93397358769637
2022-12-01,GL,5,0.0892606178329734
2022-12-01,GR,5,0.543358547668576
2022-12-01,JU,2,0.484277532245627
2022-12-01,LU,6,2.91297405588414
2022-12-01,NE,2,0.67600750821923
2022-12-01,NW,6,0.119397927211476
2022-12-01,OW,6,0.201306606398261
2022-12-01,SG,5,3.30019064719605
2022-12-01,SH,5,0.543435693290888
2022-12-01,SO,2,1.51555433728999
2022-12-01,SZ,6,1.15837206399279
2022-12-01,TG,5,1.8123582172621
2022-12-01,TI,7,4.19521301075253
2022-12-01,UR,6,0.142068950117825
2022-12-01,VD,1,6.30380376045905
2022-12-01,VS,1,2.54566573435464
2022-12-01,ZG,6,0.800875725776323
2022-12-01,ZH,4,9.29622605926099
2020-02-01,AG,3,3.96941560628606
2020-02-01,AI,5,0.0485202888111236
2020-02-01,AR,5,0.285101633111343
2020-02-01,BE,2,4.44721760548314
2020-02-01,BL,3,1.59565538098136
2020-02-01,BS,3,0.879968002345478
2020-02-01,FR,2,1.44179568191829
2020-02-01,GE,1,3.93159271323492
2020-02-01,GL,5,0.0956950326564272
2020-02-01,GR,5,0.673012535024064
2020-02-01,JU,2,0.362372176507915
2020-02-01,LU,6,3.34364634548245
2020-02-01,NE,2,0.995989927475949
2020-02-01,NW,6,0.166231193987457
2020-02-01,OW,6,0.105805416802975
2020-02-01,SG,5,4.31694410353629
2020-02-01,SH,5,0.584441136964036
2020-02-01,SO,2,1.45219546004905
2020-02-01,SZ,6,1.31410244649641
2020-02-01,TG,5,2.31044246628884
2020-02-01,TI,7,2.88537589480551
2020-02-01,UR,6,0.259702709671845
2020-02-01,VD,1,6.27912381855542
2020-02-01,VS,1,2.53218013133138
2020-02-01,ZG,6,0.329998427286631
2020-02-01,ZH,4,9.21297692593625
2021-02-01,AG,3,2.85551858095977
2021-02-01,AI,5,0.0205395324380836
2021-02-01,AR,5,0.248686549766874
2021-02-01,BE,2,3.81880268059656
2021-02-01,BL,3,1.37452665727231
2021-02-01,BS,3,0.941659829260604
2021-02-01,FR,2,1.36811613017963
2021-02-01,GE,1,5.34270088476278
2021-02-01,GL,5,0.0803191660854279
2021-02-01,GR,5,0.523404068833209
2021-02-01,JU,2,0.379245921278641
2021-02-01,LU,6,2.3002882227022
2021-02-01,NE,2,1.01934625413381
2021-02-01,NW,6,0.0921506416536228
2021-02-01,OW,6,0.0836462178984681
2021-02-01,SG,5,2.94008388908955
2021-02-01,SH,5,0.446496932226008
2021-02-01,SO,2,1.30894739587649
2021-02-01,SZ,6,0.875372159586786
2021-02-01,TG,5,1.62375831722325
2021-02-01,TI,7,4.19835875077303
2021-02-01,UR,6,0.198328080493131
2021-02-01,VD,1,6.34781905820883
2021-02-01,VS,1,2.37406802458965
2021-02-01,ZG,6,0.257372676916714
2021-02-01,ZH,4,7.59012164325642
2022-02-01,AG,3,2.04225804578618
2022-02-01,AI,5,0.01222895174407
2022-02-01,AR,5,0.202493160893731
2022-02-01,BE,2,3.60118114568666
2022-02-01,BL,3,0.896881690534863
2022-02-01,BS,3,0.968604014759219
2022-02-01,FR,2,1.09634385083621
2022-02-01,GE,1,4.56078849279607
2022-02-01,GL,5,0.0594784915988241
2022-02-01,GR,5,0.401149795585443
2022-02-01,JU,2,0.371823885848727
2022-02-01,LU,6,2.16855991879143
2022-02-01,NE,2,0.711170247908084
2022-02-01,NW,6,0.0994982726762302
2022-02-01,OW,6,0.0682217926616476
2022-02-01,SG,5,2.52684259411248
2022-02-01,SH,5,0.386427904594455
2022-02-01,SO,2,1.21788697459098
2022-02-01,SZ,6,0.866963286754699
2022-02-01,TG,5,1.38808627310074
2022-02-01,TI,7,3.71201825843429
2022-02-01,UR,6,0.12026062673409
2022-02-01,VD,1,5.52754610344765
2022-02-01,VS,1,2.24356543538873
2022-02-01,ZG,6,0.260523507765081
2022-02-01,ZH,4,6.70619963406581
2020-01-01,AG,3,0.787177091186874
2020-01-01,AI,5,0.0132921515642683
2020-01-01,AR,5,0.0628110258418764
2020-01-01,BE,2,1.15821424832887
2020-01-01,BL,3,0.328029451708009
2020-01-01,BS,3,0.203861810386031
2020-01-01,FR,2,0.250693119151292
2020-01-01,GE,1,0.720044735689053
2020-01-01,GL,5,0.0200989800263992
2020-01-01,GR,5,0.349252721489027
2020-01-01,JU,2,0.0775403572735949
2020-01-01,LU,6,0.709426835164245
2020-01-01,NE,2,0.163503685056451
2020-01-01,NW,6,0.048424737888056
2020-01-01,OW,6,0.0324783069936575
2020-01-01,SG,5,1.03610369306785
2020-01-01,SH,5,0.107366342947841
2020-01-01,SO,2,0.269626691197982
2020-01-01,SZ,6,0.320122612824171
2020-01-01,TG,5,0.433489867022368
2020-01-01,TI,7,0.686135906064389
2020-01-01,UR,6,0.0762891884244114
2020-01-01,VD,1,1.06956648785082
2020-01-01,VS,1,0.876614321586664
2020-01-01,ZG,6,0.0698046485265615
2020-01-01,ZH,4,1.97525570220007
2021-01-01,AG,3,0.409253218745429
2021-01-01,AI,5,0.0053101250688353
2021-01-01,AR,5,0.0375393730990873
2021-01-01,BE,2,0.503707264208409
2021-01-01,BL,3,0.177700437572711
2021-01-01,BS,3,0.132926214868407
2021-01-01,FR,2,0.14763596619294
2021-01-01,GE,1,0.433212221102471
2021-01-01,GL,5,0.0095922945104071
2021-01-01,GR,5,0.127592202068805
2021-01-01,JU,2,0.0286723257588485
2021-01-01,LU,6,0.313769259644467
2021-01-01,NE,2,0.0972493015648496
2021-01-01,NW,6,0.0159726682380277
2021-01-01,OW,6,0.0139997766379693
2021-01-01,SG,5,0.493761352962224
2021-01-01,SH,5,0.0605115380539559
2021-01-01,SO,2,0.157676645157906
2021-01-01,SZ,6,0.150742154396922
2021-01-01,TG,5,0.231623269558588
2021-01-01,TI,7,0.215939995304769
2021-01-01,UR,6,0.0291743597070968
2021-01-01,VD,1,0.711588478997576
2021-01-01,VS,1,0.521661439293657
2021-01-01,ZG,6,0.0352367524940171
2021-01-01,ZH,4,1.17262285760488
2022-01-01,AG,3,0.490121411036352
2022-01-01,AI,5,0.0110983963551521
2022-01-01,AR,5,0.0455080851216338
2022-01-01,BE,2,0.853205520241549
2022-01-01,BL,3,0.137892121652913
2022-01-01,BS,3,0.112881667539985
2022-01-01,FR,2,0.190324907481938
2022-01-01,GE,1,0.533106403546001
2022-01-01,GL,5,0.0173977084390227
2022-01-01,GR,5,0.174779868784852
2022-01-01,JU,2,0.0480292197228994
2022-01-01,LU,6,0.515073908032009
2022-01-01,NE,2,0.115279447465979
2022-01-01,NW,6,0.0302900342145534
2022-01-01,OW,6,0.0175727545972653
2022-01-01,SG,5,0.670228635384362
2022-01-01,SH,5,0.0798273137929163
2022-01-01,SO,2,0.23401987467815
2022-01-01,SZ,6,0.224046942884048
2022-01-01,TG,5,0.310765671202139
2022-01-01,TI,7,0.423263177039135
2022-01-01,UR,6,0.0414550029341378
2022-01-01,VD,1,0.911207671758551
2022-01-01,VS,1,0.605267713773466
2022-01-01,ZG,6,0.0604915663446262
2022-01-01,ZH,4,1.46665262799088
2023-01-01,AG,3,0.54660492944001
2023-01-01,AI,5,0.0080356759891225
2023-01-01,AR,5,0.0465372155553284
2023-01-01,BE,2,0.871299497292104
2023-01-01,BL,3,0.15013752068702
2023-01-01,BS,3,0.140193175849409
2023-01-01,FR,2,0.192451698724478
2023-01-01,GE,1,0.52470653756322
2023-01-01,GL,5,0.0153429719909269
2023-01-01,GR,5,0.155972784230583
2023-01-01,JU,2,0.0688150699093825
2023-01-01,LU,6,0.530673771029216
2023-01-01,NE,2,0.103635157722482
2023-01-01,NW,6,0.0272985854386808
2023-01-01,OW,6,0.0473286434877854
2023-01-01,SG,5,0.709244740167415
2023-01-01,SH,5,0.0900222840025077
2023-01-01,SO,2,0.250175421117295
2023-01-01,SZ,6,0.229703635850075
2023-01-01,TG,5,0.329167839139802
2023-01-01,TI,7,0.492681314249846
2023-01-01,UR,6,0.0320530270655782
2023-01-01,VD,1,0.836070185238818
2023-01-01,VS,1,0.520690265977233
2023-01-01,ZG,6,0.108440116025919
2023-01-01,ZH,4,1.64969804322322
2020-07-01,AG,3,4.08900189412866
2020-07-01,AI,5,0.045188146170215
2020-07-01,AR,5,0.335358677429862
2020-07-01,BE,2,4.98077356829013
2020-07-01,BL,3,1.70341920010508
2020-07-01,BS,3,1.20128186889084
2020-07-01,FR,2,1.6174045724414
2020-07-01,GE,1,6.9295115397261
2020-07-01,GL,5,0.0982275237198607
2020-07-01,GR,5,0.516624260918995
2020-07-01,JU,2,0.498506004535528
2020-07-01,LU,6,2.98895701143216
2020-07-01,NE,2,1.33501713378817
2020-07-01,NW,6,0.14955638310574
2020-07-01,OW,6,0.0907624120541374
2020-07-01,SG,5,4.07124508652385
2020-07-01,SH,5,0.551641324610385
2020-07-01,SO,2,1.67197863879228
2020-07-01,SZ,6,1.10515959829562
2020-07-01,TG,5,2.09558995013718
2020-07-01,TI,7,5.21188148942758
2020-07-01,UR,6,0.225702636747694
2020-07-01,VD,1,7.74310023749613
2020-07-01,VS,1,2.74261929132332
2020-07-01,ZG,6,0.347482288197272
2020-07-01,ZH,4,9.95634626850952
2021-07-01,AG,3,3.12402881444601
2021-07-01,AI,5,0.0335418984159995
2021-07-01,AR,5,0.313275449341237
2021-07-01,BE,2,4.93738444236816
2021-07-01,BL,3,1.36526526657335
2021-07-01,BS,3,1.18625335342132
2021-07-01,FR,2,1.61862519632337
2021-07-01,GE,1,6.90560697006703
2021-07-01,GL,5,0.0920891601170588
2021-07-01,GR,5,0.575066964847681
2021-07-01,JU,2,0.458440014405163
2021-07-01,LU,6,3.08217790174457
2021-07-01,NE,2,1.27980201472802
2021-07-01,NW,6,0.12720529915081
2021-07-01,OW,6,0.0843922199822536
2021-07-01,SG,5,3.64559783563375
2021-07-01,SH,5,0.576285239116792
2021-07-01,SO,2,1.53226791678393
2021-07-01,SZ,6,1.17016398774447
2021-07-01,TG,5,2.02604610863834
2021-07-01,TI,7,4.97680585536996
2021-07-01,UR,6,0.232671196895181
2021-07-01,VD,1,7.56578474483069
2021-07-01,VS,1,2.84570346482959
2021-07-01,ZG,6,0.407163238104399
2021-07-01,ZH,4,9.13494471637014
2022-07-01,AG,3,3.59400621120943
2022-07-01,AI,5,0.0413426131188903
2022-07-01,AR,5,0.375594622890601
2022-07-01,BE,2,6.28921853861622
2022-07-01,BL,3,1.41787818938848
2022-07-01,BS,3,1.424468070263
2022-07-01,FR,2,1.6915556131611
2022-07-01,GE,1,7.19335505046563
2022-07-01,GL,5,0.106514999887395
2022-07-01,GR,5,0.675874755092509
2022-07-01,JU,2,0.701281118972737
2022-07-01,LU,6,3.75018693617833
2022-07-01,NE,2,0.862891799266449
2022-07-01,NW,6,0.176979889628267
2022-07-01,OW,6,0.273087279342031
2022-07-01,SG,5,4.13885558823915
2022-07-01,SH,5,0.755129546551307
2022-07-01,SO,2,1.92041495478932
2022-07-01,SZ,6,1.40977398302421
2022-07-01,TG,5,2.25944960154227
2022-07-01,TI,7,6.42395199737789
2022-07-01,UR,6,0.20543683420807
2022-07-01,VD,1,8.40566600213219
2022-07-01,VS,1,3.34724712719395
2022-07-01,ZG,6,0.994791233314024
2022-07-01,ZH,4,11.6142225309022
2020-06-01,AG,3,1.41053173317231
2020-06-01,AI,5,0.0216649969991332
2020-06-01,AR,5,0.102983140153189
2020-06-01,BE,2,1.68198838118789
2020-06-01,BL,3,0.549641020860266
2020-06-01,BS,3,0.291194570865473
2020-06-01,FR,2,0.722610121332559
2020-06-01,GE,1,1.55654881610311
2020-06-01,GL,5,0.0286488296302253
2020-06-01,GR,5,0.205899707941946
2020-06-01,JU,2,0.143000571617733
2020-06-01,LU,6,1.24133650255904
2020-06-01,NE,2,0.407133476341476
2020-06-01,NW,6,0.0730964561466669
2020-06-01,OW,6,0.0351051741737274
2020-06-01,SG,5,1.48455981081888
2020-06-01,SH,5,0.199364651367557
2020-06-01,SO,2,0.552552191196677
2020-06-01,SZ,6,0.469074362220008
2020-06-01,TG,5,0.760410301459364
2020-06-01,TI,7,1.43343027692416
2020-06-01,UR,6,0.0940859394478841
2020-06-01,VD,1,2.40097657429319
2020-06-01,VS,1,1.50483657821853
2020-06-01,ZG,6,0.145675214259337
2020-06-01,ZH,4,3.48518154187838
2021-06-01,AG,3,2.44438528032234
2021-06-01,AI,5,0.0305676801344505
2021-06-01,AR,5,0.278301461885655
2021-06-01,BE,2,4.23726168253655
2021-06-01,BL,3,1.25682710855815
2021-06-01,BS,3,0.977007405161294
2021-06-01,FR,2,1.41437883263221
2021-06-01,GE,1,5.98624144245052
2021-06-01,GL,5,0.0699746038569357
2021-06-01,GR,5,0.496192419070434
2021-06-01,JU,2,0.397722102021467
2021-06-01,LU,6,2.70057884318432
2021-06-01,NE,2,1.09861044404405
2021-06-01,NW,6,0.13282753112819
2021-06-01,OW,6,0.0807749909807173
2021-06-01,SG,5,3.17823164196464
2021-06-01,SH,5,0.51306616384116
2021-06-01,SO,2,1.39264530525792
2021-06-01,SZ,6,1.04080761801821
2021-06-01,TG,5,1.77978710056038
2021-06-01,TI,7,4.60859959012492
2021-06-01,UR,6,0.229489429477461
2021-06-01,VD,1,6.46072578828601
2021-06-01,VS,1,2.60033887604788
2021-06-01,ZG,6,0.331911795360844
2021-06-01,ZH,4,8.06324595484678
2022-06-01,AG,3,2.62933701479031
2022-06-01,AI,5,0.0323287149747567
2022-06-01,AR,5,0.317686064285948
2022-06-01,BE,2,4.89767363538215
2022-06-01,BL,3,1.05040030413076
2022-06-01,BS,3,1.07451633894743
2022-06-01,FR,2,1.29851354835922
2022-06-01,GE,1,5.29727856051062
2022-06-01,GL,5,0.0734105210659299
2022-06-01,GR,5,0.552180169160143
2022-06-01,JU,2,0.514267599218091
2022-06-01,LU,6,2.78246324303819
2022-06-01,NE,2,0.722069318772083
2022-06-01,NW,6,0.11769798230559
2022-06-01,OW,6,0.199406944399078
2022-06-01,SG,5,3.26786584824273
2022-06-01,SH,5,0.54345057417235
2022-06-01,SO,2,1.61946870734094
2022-06-01,SZ,6,1.13091801250305
2022-06-01,TG,5,1.78327588405878
2022-06-01,TI,7,4.13419708913746
2022-06-01,UR,6,0.141236795562421
2022-06-01,VD,1,6.56190716697595
2022-06-01,VS,1,2.60758704012599
2022-06-01,ZG,6,0.782676016146962
2022-06-01,ZH,4,9.60223219800836
2020-03-01,AG,3,1.59383756383022
2020-03-01,AI,5,0.0283429883559805
2020-03-01,AR,5,0.144507065064622
2020-03-01,BE,2,1.99842954225896
2020-03-01,BL,3,0.642689606229438
2020-03-01,BS,3,0.416954074901672
2020-03-01,FR,2,0.640934837023431
2020-03-01,GE,1,1.68921500714809
2020-03-01,GL,5,0.0338504809052504
2020-03-01,GR,5,0.286832906188726
2020-03-01,JU,2,0.153870663923097
2020-03-01,LU,6,1.38398384904314
2020-03-01,NE,2,0.408971265201951
2020-03-01,NW,6,0.0827016735278169
2020-03-01,OW,6,0.0485441765418905
2020-03-01,SG,5,1.93918640354851
2020-03-01,SH,5,0.218246140329132
2020-03-01,SO,2,0.590237631895371
2020-03-01,SZ,6,0.552223245395952
2020-03-01,TG,5,0.984086005511166
2020-03-01,TI,7,1.22752430334791
2020-03-01,UR,6,0.1155680582459
2020-03-01,VD,1,2.49472534429533
2020-03-01,VS,1,1.21354214880641
2020-03-01,ZG,6,0.174114145140529
2020-03-01,ZH,4,4.42791161979777
2021-03-01,AG,3,3.00471547329758
2021-03-01,AI,5,0.0316567256961342
2021-03-01,AR,5,0.310453564293594
2021-03-01,BE,2,4.879828717295
2021-03-01,BL,3,1.78831462884201
2021-03-01,BS,3,1.38883814921668
2021-03-01,FR,2,1.58633564156299
2021-03-01,GE,1,6.91775094414592
2021-03-01,GL,5,0.0904456059198684
2021-03-01,GR,5,0.623772481472784
2021-03-01,JU,2,0.472401414033048
2021-03-01,LU,6,2.99740230326362
2021-03-01,NE,2,0.514271906841672
2021-03-01,NW,6,0.113336709230987
2021-03-01,OW,6,0.0863216437443592
2021-03-01,SG,5,3.93655744521299
2021-03-01,SH,5,0.59462475071146
2021-03-01,SO,2,1.71495305804405
2021-03-01,SZ,6,1.14062661285014
2021-03-01,TG,5,2.18083351317988
2021-03-01,TI,7,5.56997815373037
2021-03-01,UR,6,0.222206804410711
2021-03-01,VD,1,8.15327254647287
2021-03-01,VS,1,2.96763936553451
2021-03-01,ZG,6,0.350604532089146
2021-03-01,ZH,4,10.3153776871294
2022-03-01,AG,3,2.69615099774528
2022-03-01,AI,5,0.0213438832412833
2022-03-01,AR,5,0.317935514851498
2022-03-01,BE,2,4.59607615356877
2022-03-01,BL,3,1.12658062715921
2022-03-01,BS,3,1.22244718155459
2022-03-01,FR,2,1.34551050483128
2022-03-01,GE,1,6.13290114449917
2022-03-01,GL,5,0.0761736657920141
2022-03-01,GR,5,0.562232596189421
2022-03-01,JU,2,0.440040587682506
2022-03-01,LU,6,2.80906947588678
2022-03-01,NE,2,0.439514666003491
2022-03-01,NW,6,0.129774600815753
2022-03-01,OW,6,0.0966364442099287
2022-03-01,SG,5,3.55815346854335
2022-03-01,SH,5,0.565096382666441
2022-03-01,SO,2,1.5589967211035
2022-03-01,SZ,6,1.17667946421167
2022-03-01,TG,5,1.93021323202732
2022-03-01,TI,7,5.02139954948601
2022-03-01,UR,6,0.230587090286306
2022-03-01,VD,1,7.14750078904895
2022-03-01,VS,1,2.77788737198883
2022-03-01,ZG,6,0.36611980902331
2022-03-01,ZH,4,8.92567566358364
2020-05-01,AG,3,3.1330861804281
2020-05-01,AI,5,0.0400608993024967
2020-05-01,AR,5,0.276974713822734
2020-05-01,BE,2,4.056392792019
2020-05-01,BL,3,0.640533444826119
2020-05-01,BS,3,0.239053137031376
2020-05-01,FR,2,1.38675365100567
2020-05-01,GE,1,3.74959170091988
2020-05-01,GL,5,0.0676089353067267
2020-05-01,GR,5,0.416430894437662
2020-05-01,JU,2,0.120889931379047
2020-05-01,LU,6,2.5953032640818
2020-05-01,NE,2,0.3663293161702
2020-05-01,NW,6,0.123982805110143
2020-05-01,OW,6,0.0772407816336496
2020-05-01,SG,5,3.48208514372799
2020-05-01,SH,5,0.147025850053025
2020-05-01,SO,2,0.968167378368971
2020-05-01,SZ,6,0.983956385201595
2020-05-01,TG,5,0.89737941685953
2020-05-01,TI,7,0.923148012722699
2020-05-01,UR,6,0.195670668345851
2020-05-01,VD,1,6.53504404312108
2020-05-01,VS,1,2.16626708823995
2020-05-01,ZG,6,0.250935912480398
2020-05-01,ZH,4,3.54913134675419
2021-05-01,AG,3,2.09017761690884
2021-05-01,AI,5,0.0307211881747885
2021-05-01,AR,5,0.23725842440671
2021-05-01,BE,2,3.27356405103599
2021-05-01,BL,3,0.483159899727452
2021-05-01,BS,3,0.20292783927326
2021-05-01,FR,2,1.15334585047815
2021-05-01,GE,1,3.41771671616054
2021-05-01,GL,5,0.0770543790132391
2021-05-01,GR,5,0.358189082408704
2021-05-01,JU,2,0.13564080092867
2021-05-01,LU,6,2.19476515104484
2021-05-01,NE,2,0.469802742207326
2021-05-01,NW,6,0.109987727697899
